scenario,year,t,restrict_share,fragment_share,open_share,tau,mu,access,q_star_gwh,q_real_gwh,eta,gap_gwh
open_steps,2023.45,0.45,0.17536205750437958,0.17132046512368518,0.8246379424956204,0.12,0.08,0.1,826.139707248074,711.7483937823638,0.8615351465834329,114.39131346571025
open_steps,2023.46,0.46,0.1752471674575027,0.17072213250298596,0.8247528325424973,0.12,0.08,0.1,827.9167272044276,713.4076257662505,0.8616900738014649,114.50910143817714
open_steps,2023.47,0.47000000000000003,0.17513180456778144,0.17012547570294342,0.8248681954322186,0.12,0.08,0.1,829.6975695166099,715.070525913354,0.8618447880110837,114.62704360325586
open_steps,2023.48,0.48,0.1750159714507674,0.16953049323674876,0.8249840285492326,0.12,0.08,0.1,831.4822424064777,716.7371016060597,0.861999288802221,114.74514080041797
open_steps,2023.49,0.49,0.17489967071983734,0.16893718359817234,0.8251003292801626,0.12,0.08,0.1,833.2707541135735,718.4073602424365,0.8621535757686256,114.86339387113696
open_steps,2023.5,0.5,0.17478290498613513,0.16834554526168866,0.8252170950138649,0.12,0.08,0.1,835.0631128951628,720.0813092362835,0.8623076485078623,114.98180365887936
open_steps,2023.51,0.51,0.1746656768585141,0.16775557668260122,0.8253343231414859,0.12,0.08,0.1,836.8593270262721,721.7589560171737,0.8624615066213094,115.10037100909847
open_steps,2023.52,0.52,0.1745479889434798,0.16716727629716743,0.8254520110565202,0.12,0.08,0.1,838.6594047997276,723.4403080305018,0.8626151497141558,115.21909676922576
open_steps,2023.53,0.53,0.1744298438451332,0.16658064252272356,0.8255701561548668,0.12,0.08,0.1,840.4633545261934,725.1253727375297,0.8627685773954001,115.33798178866368
open_steps,2023.54,0.54,0.1743112441651141,0.16599567375780955,0.8256887558348859,0.12,0.08,0.1,842.2711845342097,726.8141576154324,0.8629217892778475,115.45702691877739
open_steps,2023.55,0.55,0.1741921925025454,0.16541236838229406,0.8258078074974546,0.12,0.08,0.1,844.0829031702314,728.5066701573431,0.8630747849781063,115.57623301288822
open_steps,2023.56,0.56,0.1740726914539772,0.16483072475749927,0.8259273085460228,0.12,0.08,0.1,845.8985187986665,730.2029178724019,0.8632275641165871,115.69560092626455
open_steps,2023.57,0.5700000000000001,0.17395274361333177,0.16425074122632585,0.8260472563866682,0.12,0.08,0.1,847.7180398019146,731.9029082857995,0.8633801263174988,115.81513151611512
open_steps,2023.58,0.58,0.17383235157184865,0.1636724161133778,0.8261676484281514,0.12,0.08,0.1,849.5414745804061,733.6066489388251,0.8635324712088459,115.93482564158103
open_steps,2023.59,0.59,0.17371151791803024,0.16309574772508728,0.8262884820819698,0.12,0.08,0.1,851.3688315526405,735.3141473889123,0.863684598422426,116.05468416372821
open_steps,2023.6,0.6,0.1735902452375879,0.16252073434983952,0.8264097547624121,0.12,0.08,0.1,853.2001191552254,737.025411209686,0.8638365075938259,116.17470794553935
open_steps,2023.61,0.61,0.1734685361133882,0.1619473742580975,0.8265314638866118,0.12,0.08,0.1,855.0353458429153,738.7404479910083,0.8639881983624191,116.29489785190697
open_steps,2023.62,0.62,0.17334639312539982,0.16137566570252673,0.8266536068746002,0.12,0.08,0.1,856.8745200886513,740.4592653390263,0.8641396703713622,116.41525474962498
open_steps,2023.63,0.63,0.17322381885064075,0.16080560691812004,0.8267761811493592,0.12,0.08,0.1,858.7176503835993,742.1818708762179,0.8642909232675915,116.53577950738145
open_steps,2023.64,0.64,0.17310081586312592,0.16023719612232218,0.826899184136874,0.12,0.08,0.1,860.5647452371899,743.908272241439,0.8644419567018192,116.65647299575085
open_steps,2023.65,0.65,0.17297738673381519,0.15967043151515434,0.8270226132661849,0.12,0.08,0.1,862.415813177157,745.6384770899705,0.8645927703285304,116.77733608718654
open_steps,2023.66,0.66,0.17285353403056172,0.15910531127933883,0.8271464659694383,0.12,0.08,0.1,864.2708627495781,747.3724930935651,0.8647433638059783,116.89836965601296
open_steps,2023.67,0.67,0.17272926031806093,0.15854183358042348,0.8272707396819391,0.12,0.08,0.1,866.1299025189132,749.1103279404954,0.8648937367961816,117.01957457841786
open_steps,2023.68,0.68,0.1726045681577996,0.15797999656690606,0.8273954318422004,0.12,0.08,0.1,867.9929410680438,750.8519893355988,0.8650438889649195,117.14095173244505
open_steps,2023.69,0.6900000000000001,0.17247946010800552,0.15741979837035863,0.8275205398919945,0.12,0.08,0.1,869.8599869983138,752.5974850003274,0.8651938199817281,117.26250199798642
open_steps,2023.7,0.7000000000000001,0.17235393872359758,0.15686123710555175,0.8276460612764024,0.12,0.08,0.1,871.7310489295681,754.3468226727935,0.8653435295198958,117.3842262567747
open_steps,2023.71,0.71,0.17222800655613615,0.15630431087057867,0.8277719934438639,0.12,0.08,0.1,873.606135500193,756.1000101078175,0.8654930172564597,117.50612539237545
open_steps,2023.72,0.72,0.17210166615377395,0.15574901774697944,0.827898333846226,0.12,0.08,0.1,875.4852553671558,757.857055076976,0.8656422828722004,117.62820029017973
open_steps,2023.73,0.73,0.17197492006120724,0.15519535579986485,0.8280250799387927,0.12,0.08,0.1,877.3684172060451,759.6179653686485,0.8657913260516379,117.75045183739667
open_steps,2023.74,0.74,0.1718477708196275,0.15464332307804035,0.8281522291803725,0.12,0.08,0.1,879.2556297111104,761.3827487880652,0.8659401464830272,117.87288092304516
open_steps,2023.75,0.75,0.17172022096667341,0.1540929176141298,0.8282797790333266,0.12,0.08,0.1,881.1469015953024,763.151413157355,0.8660887438583528,117.99548843794742
open_steps,2023.76,0.76,0.17159227303638339,0.1535441374246991,0.8284077269636166,0.12,0.08,0.1,883.0422415903133,764.9239663155932,0.8662371178733249,118.11827527472008
open_steps,2023.77,0.77,0.1714639295591483,0.15299698051037988,0.8285360704408518,0.12,0.08,0.1,884.9416584466176,766.7004161188495,0.8663852682273735,118.24124232776808
open_steps,2023.78,0.78,0.1713351930616648,0.15245144485599282,0.8286648069383352,0.12,0.08,0.1,886.8451609335111,768.480770440235,0.8665331946236439,118.36439049327612
open_steps,2023.79,0.79,0.17120606606688893,0.151907528430671,0.8287939339331111,0.12,0.08,0.1,888.7527578391531,770.2650371699515,0.8666808967689914,118.48772066920162
open_steps,2023.8,0.8,0.1710765510939901,0.15136522918798312,0.8289234489060099,0.12,0.08,0.1,890.6644579706059,772.053224215339,0.8668283743739763,118.61123375526688
open_steps,2023.81,0.81,0.17094665065830555,0.15082454506605647,0.8290533493416945,0.12,0.08,0.1,892.5802701538754,773.8453395009236,0.866975627152858,118.73493065295179
open_steps,2023.82,0.8200000000000001,0.1708163672712953,0.15028547398769998,0.8291836327287048,0.12,0.08,0.1,894.5002032339526,775.6413909684659,0.8671226548235902,118.85881226548668
open_steps,2023.83,0.8300000000000001,0.17068570344049713,0.1497480138605269,0.8293142965595028,0.12,0.08,0.1,896.4242660748539,777.4413865770099,0.8672694571078148,118.98287949784401
open_steps,2023.84,0.84,0.17055466166948244,0.14921216257707748,0.8294453383305176,0.12,0.08,0.1,898.3524675596619,779.2453343029298,0.8674160337308564,119.10713325673214
open_steps,2023.85,0.85,0.17042324445781212,0.14867791801494137,0.8295767555421879,0.12,0.08,0.1,900.2848165905668,781.0532421399803,0.867562384421717,119.23157445058655
open_steps,2023.86,0.86,0.170291454300993,0.1481452780368801,0.829708545699007,0.12,0.08,0.1,902.2213220889078,782.8651180993443,0.8677085089130694,119.35620398956348
open_steps,2023.87,0.87,0.17015929369043464,0.1476142404909491,0.8298407063095654,0.12,0.08,0.1,904.1619929952128,784.6809702096809,0.867854406941252,119.48102278553188
